GDP pc 2011 prices;Afghanistan;Angola;Albania;United Arab Emirates;Argentina;Armenia;Australia;Austria;Azerbaijan;Burundi;Belgium;Benin;Burkina Faso;Bangladesh;Bulgaria;Bahrain;Bosnia and Herzegovina;Belarus;Bolivia (Plurinational State of);Brazil;Barbados;Botswana;Central African Republic;Canada;Switzerland;Chile;China;Côte d'Ivoire;Cameroon;D.R. of the Congo;Congo;Colombia;Comoros;Cabo Verde;Costa Rica;Czechoslovakia;Cuba;Cyprus;Czech Republic;Germany;Djibouti;Dominica;Denmark;Dominican Republic;Algeria;Ecuador;Egypt;Spain;Estonia;Ethiopia;Finland;France;Gabon;United Kingdom;Georgia;Ghana;Guinea;Gambia;Guinea-Bissau;Equatorial Guinea;Greece;Guatemala;China, Hong Kong SAR;Honduras;Croatia;Haiti;Hungary;Indonesia;India;Ireland;Iran (Islamic Republic of);Iraq;Iceland;Israel;Italy;Jamaica;Jordan;Japan;Kazakhstan;Kenya;Kyrgyzstan;Cambodia;Republic of Korea;Kuwait;Lao People's DR;Lebanon;Liberia;Libya;Saint Lucia;Sri Lanka;Lesotho;Lithuania;Luxembourg;Latvia;Morocco;Republic of Moldova;Madagascar;Mexico;TFYR of Macedonia;Mali;Malta;Myanmar;Montenegro;Mongolia;Mozambique;Mauritania;Mauritius;Malawi;Malaysia;Namibia;Niger;Nigeria;Nicaragua;Netherlands;Norway;Nepal;New Zealand;Oman;Pakistan;Panama;Peru;Philippines;Poland;Puerto Rico;D.P.R. of Korea;Portugal;Paraguay;State of Palestine;Qatar;Romania;Russian Federation;Rwanda;Saudi Arabia;Sudan (Former);Senegal;Singapore;Sierra Leone;El Salvador;Serbia;Sao Tome and Principe;Former USSR;Slovakia;Slovenia;Sweden;Swaziland;Seychelles;Syrian Arab Republic;Chad;Togo;Thailand;Tajikistan;Turkmenistan;Trinidad and Tobago;Tunisia;Turkey;Taiwan, Province of China;U.R. of Tanzania: Mainland;Uganda;Ukraine;Uruguay;United States;Uzbekistan;Venezuela (Bolivarian Republic of);Viet Nam;Yemen;Former Yugoslavia;South Africa;Zambia;Zimbabwe
year;AFG;AGO;ALB;ARE;ARG;ARM;AUS;AUT;AZE;BDI;BEL;BEN;BFA;BGD;BGR;BHR;BIH;BLR;BOL;BRA;BRB;BWA;CAF;CAN;CHE;CHL;CHN;CIV;CMR;COD;COG;COL;COM;CPV;CRI;CSK;CUB;CYP;CZE;DEU;DJI;DMA;DNK;DOM;DZA;ECU;EGY;ESP;EST;ETH;FIN;FRA;GAB;GBR;GEO;GHA;GIN;GMB;GNB;GNQ;GRC;GTM;HKG;HND;HRV;HTI;HUN;IDN;IND;IRL;IRN;IRQ;ISL;ISR;ITA;JAM;JOR;JPN;KAZ;KEN;KGZ;KHM;KOR;KWT;LAO;LBN;LBR;LBY;LCA;LKA;LSO;LTU;LUX;LVA;MAR;MDA;MDG;MEX;MKD;MLI;MLT;MMR;MNE;MNG;MOZ;MRT;MUS;MWI;MYS;NAM;NER;NGA;NIC;NLD;NOR;NPL;NZL;OMN;PAK;PAN;PER;PHL;POL;PRI;PRK;PRT;PRY;PSE;QAT;ROU;RUS;RWA;SAU;SDN;SEN;SGP;SLE;SLV;SRB;STP;SUN;SVK;SVN;SWE;SWZ;SYC;SYR;TCD;TGO;THA;TJK;TKM;TTO;TUN;TUR;TWN;TZA;UGA;UKR;URY;USA;UZB;VEN;VNM;YEM;YUG;ZAF;ZMB;ZWE
1810;;;;;;;;;;;;;;;;;;;;;;;;;; 	853 ; 	901 ;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.478 ;;;;;;;;;;;;;;;;;;;;;2558;;;;;;;;;;;;;;;;;;;;;;; 	1.073 ;;;;;;;;;;;;;;;;;;;;;;; 	1.028 ;;;;; 	1.177 ;;;;;;;;;;;;;;;;;; 	1.320 ;;;;;;;;;;;;;;;;; 	2.725 ;;;;;; 	1.420 ;;
1811;;;;;;;;;;;;;;;;;;;;;;;;;; 	815 ;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.397 ;;;;;;;;;;;;;;; 	983 ;;;;;;2473;;;;;;;;;;;;;;;;;;;;;;; 	1.044 ;;;;;;;;;;;;;;;;;;;;;;; 	960 ;; 	690 ;;; 	1.072 ;;;;;;;;;;;;;;;;;; 	1.417 ;;;;;;;;;;;;;;;;; 	2.781 ;;;;;; 	1.127 ;;
1812;;;;;;;;;;; 	2.358 ;;;;;;;;;;;;;;; 	802 ;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.207 ;;;;;;;;;;;;;;;;;;;;;2527;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	968 ;; 	663 ;;; 	1.114 ;;;;;;;;;;;;;;;;;; 	1.328 ;;;;;;;;;;;;;;;;; 	2.732 ;;;;;; 	1.141 ;;
1813;;;;;;;;;;;;;;;;;;;;;;;;;; 	808 ;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.328 ;;;;;;;;;;;;;;;;;;;;;2596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	936 ;; 	679 ;;; 	1.227 ;;;;;;;;;;;;;;;;;; 	1.352 ;;;;;;;;;;;;;;;;; 	2.763 ;;;;;; 	1.438 ;;
1814;;;;;;;;;;;;;;;;;;;;;;;;;; 	813 ;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.204 ;;;;;;;;;;;;;;;;;;;;;2627;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	917 ;; 	720 ;;; 	1.266 ;;;;;;;;;;;;;;;;;; 	1.363 ;;;;;;;;;;;;;;;;; 	2.815 ;;;;;; 	1.455 ;;
1815;;;;;;;;;;;;;;;;;;;;;;;;;; 	816 ;;;;;;;;;;;;;;;;;;;;;; 	1.537 ;;;;;; 	3.489 ;;;;;;;;;;;;;; 	795 ;;;;;;;2511;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.011 ;;;;;;; 	889 ;; 	733 ;;; 	1.327 ;;;;;;;;;;;;;;;;;; 	1.411 ;;;;;;;;;;;;;;;;; 	2.804 ;;;;;; 	1.210 ;;
1816;;;;;;;;;;;;;;;;;;;;;;;;;; 	789 ;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.250 ;;;;;;;;;;;;;; 	862 ;;;;;;;2473;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	2.869 ;;;;;;; 	907 ;; 	736 ;;; 	1.372 ;;;;;;;;;;;;;;;;;; 	1.438 ;;;;;;;;;;;;;;;;; 	2.691 ;;;;;; 	1.261 ;;
1817;;;;;;;;;;;;;;;;;;;;;;;;;; 	781 ;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.253 ;;;;;;;;;;;;;; 	851 ;;;;;;;2496;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	2.898 ;;;;;;; 	886 ;; 	746 ;;; 	1.378 ;;;;;;;;;;;;;;;;;; 	1.396 ;;;;;;;;;;;;;;;;; 	2.688 ;;;;;; 	1.310 ;;
1818;;;;;;;;;;;;;;;;;;;;;;;;;; 	822 ;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.201 ;;;;;;;;;;;;;; 	834 ;;;;;;;2688;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	2.942 ;;;;;;; 	889 ;; 	762 ;;; 	1.465 ;;;;;;;;;;;;;;;;;; 	1.407 ;;;;;;;;;;;;;;;;; 	2.695 ;;;;;; 	1.390 ;;
1819;;;;;;;;;;;;;;;;;;;;;;;;;; 	787 ;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.103 ;;;;;;;;;;;;;; 	835 ;;;;;;;2665;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	2.807 ;;;;;;; 	867 ;; 	792 ;;; 	1.611 ;;;;;;;;;;;;;;;;;; 	1.395 ;;;;;;;;;;;;;;;;; 	2.691 ;;;;;; 	1.202 ;;
1820;;;;; 	1.591 ;; 	826 ; 	1.941 ;;; 	2.358 ;;;;;;;;; 	867 ;;;; 	1.441 ;; 	824 ; 	882 ;;;;; 	850 ;;;; 	1.353 ;;;; 	1.572 ;;; 	2.031 ;; 	685 ;; 	956 ; 	1.600 ;;; 	1.313 ; 	1.809 ;; 	3.306 ;;;;;;;;; 	1.132 ;;;;; 	827 ;; 	1.398 ; 	877 ; 	877 ;;;2665; 	1.117 ; 	877 ; 	1.317 ;;;;; 	816 ;;; 	1.084 ;;;; 	877 ;;;;; 	685 ;;; 	1.007 ;;;; 	803 ;;;;;;; 	961 ;;;;; 	3.006 ; 	1.384 ; 	641 ; 	826 ;;;; 	835 ; 	931 ; 	818 ;; 	753 ; 	1.665 ;;;;;;; 	797 ;;;;;;;;;;; 	1.415 ;;; 	1.084 ;;; 	909 ;;;; 	685 ; 	974 ; 	966 ;;;; 	1.983 ; 	2.674 ;; 	968 ; 	840 ;;; 	1.188 ;;
1821;;;;;;; 	834 ;;;;;;;;;;;;;;;;;;; 	805 ;;;;;;;;;;;;;;;;; 	2.104 ;;;;;;;;; 	1.953 ;; 	3.308 ;;;;;;;;;;;;;; 	837 ; 	937 ;;;;;;2619;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	2.947 ;;;;;;; 	687 ;; 	834 ;;; 	1.648 ;;;;;;;;;;;;;;;;;; 	1.457 ;;;;;;;;;;;;;;;;; 	2.715 ;;;;;; 	1.403 ;;
1822;;;;;;; 	858 ;;;;;;;;;;;;;;;;;;; 	830 ;;;;;;;;;;;;;;;;; 	2.115 ;;;;;;;;; 	1.875 ;; 	3.315 ;;;;;;;;;;;;;; 	835 ;;;;;;;2650;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	2.974 ;;;;;;; 	655 ;; 	850 ;;; 	1.637 ;;;;;;;;;;;;;;;;;; 	1.465 ;;;;;;;;;;;;;;;;; 	2.791 ;;;;;; 	1.309 ;;
1823;;;;;;; 	886 ;;;;;;;;;;;;;;;;;;; 	797 ;;;;;;;;;;;;;;;;; 	2.085 ;;;;;;;;; 	1.934 ;; 	3.359 ;;;;;;;;;;;;;; 	837 ;;;;;;;2673;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.121 ;;;;;;; 	679 ;; 	870 ;;; 	1.605 ;;;;;;;;;;;;;;;;;; 	1.449 ;;;;;;;;;;;;;;;;; 	2.760 ;;;;;;;;
1824;;;;;;; 	936 ;;;;;;;;;;;;;;;;;;; 	786 ;;;;;;;;;;;;;;;;; 	2.117 ;;;;;;;;; 	1.986 ;; 	3.492 ;;;;;;;;;;;;;; 	795 ;;;;;;;2742;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.100 ;;;;;;; 	654 ;; 	888 ;;; 	1.538 ;;;;;;;;;;;;;;;;;; 	1.487 ;;;;;;;;;;;;;;;;; 	2.836 ;;;;;;;;
1825;;;;;;; 	982 ;;;;;;;;;;;;;;;;;;; 	853 ;;;;;;;;;;;;;;;;; 	2.107 ;;;;; 	1.698 ;;;; 	1.898 ;; 	3.521 ;;;;;;;;;;;;;; 	818 ;;;;;;;2703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.022 ;;;;;;; 	671 ;; 	897 ;;; 	1.503 ;;;;;;;;;;;;;;;;;; 	1.527 ;;;;;;;;;;;;;;;;; 	2.898 ;;;;;;;;
1826;;;;;;; 	999 ;;;;;;;;;;;;;;;;;;; 	885 ;;;;;;;;;;;;;;;;; 	2.110 ;;;;;;;;; 	1.949 ;; 	3.290 ;;;;;;;;;;;;;; 	867 ;;;;;;;2780;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.068 ;;;;;;; 	639 ;; 	902 ;;; 	1.558 ;;;;;;;;;;;;;;;;;; 	1.532 ;;;;;;;;;;;;;;;;; 	2.918 ;;;;;; 	1.353 ;;
1827;;;;;;; 	1.030 ;;;;;;;;;;;;;;;;;;; 	904 ;;;;;;;;;;;;;;;;; 	2.150 ;;;;;;;;; 	1.908 ;; 	3.499 ;;;;;;;;;;;;;; 	874 ;;;;;;;2734;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.250 ;;;;;;; 	681 ;; 	921 ;;; 	1.477 ;;;;;;;;;;;;;;;;;; 	1.458 ;;;;;;;;;;;;;;;;; 	2.930 ;;;;;;;;
1828;;;;;;; 	1.057 ;;;;;;;;;;;;;;;;;;; 	910 ;;;;;;;;;;;;;;;;; 	2.163 ;;;;;;;;; 	1.897 ;; 	3.461 ;;;;;;;;;;;;;; 	858 ;;;;;;;2703;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.319 ;;;;;;; 	674 ;; 	942 ;;; 	1.490 ;;;;;;;;;;;;;;;;;; 	1.486 ;;;;;;;;;;;;;;;;; 	2.930 ;;;;;;;;
1829;;;;;;; 	1.114 ;;;;;;;;;;;;;;;;;;; 	932 ;;;;;;;;;;; 	787 ;;;;;; 	2.110 ;;;;;;;;; 	1.946 ;; 	3.443 ;;;;;;;;;;;;;; 	834 ;;;;;;;2696;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.325 ;;;;;;; 	660 ;; 	953 ;;; 	1.647 ;;;;;;;;;;;;;;;;;; 	1.506 ;;;;;;;;;;;;;;;;; 	2.833 ;;;;;; 	1.372 ;;
1830;;;;;;; 	1.352 ; 	2.230 ;;;;;;;;;;;;;;;; 	1.594 ;; 	925 ; 	846 ;;;;;;;;;;;;;;;; 	2.120 ;;;;;;;;; 	1.898 ;; 	3.550 ;;;;;;;;;;;;;; 	822 ;;;;;;;2657;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.038 ; 	1.441 ;;;;;; 	669 ;; 	942 ;;; 	1.721 ;;;;;;;;;;;;;;;;;; 	1.468 ;;;;;;;;;;;;;;;;; 	3.039 ;; 	1.922 ;;;;;;
1831;;;;;;; 	1.398 ;;;;;;;;;;;;;;;;;;; 	929 ;;;;;;;;;;;;;;;;; 	2.101 ;;;;;;;;; 	1.926 ;; 	3.545 ;;;;;;;;;;;;;; 	811 ; 	945 ;;;;;;2750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.264 ; 	1.355 ;;;;;; 	673 ;; 	929 ;;; 	1.603 ;;;;;;;;;;;;;;;;;; 	1.497 ;;;;;;;;;;;;;;;;; 	3.226 ;; 	1.897 ;;;; 	1.243 ;;
1832;;;;;;; 	1.428 ;;;;;;;;;;;;;;;;;;; 	956 ;;;;;;;;;;;;;;;;; 	2.158 ;;;;;;;;; 	2.091 ;; 	3.612 ;;;;;;;;;;;;;; 	811 ;;;;;;;2773;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.417 ; 	1.393 ;;;;;; 	655 ;; 	923 ;;; 	1.525 ;;;;;;;;;;;;;;;;;; 	1.457 ;;;;;;;;;;;;;;;;; 	3.343 ;; 	2.142 ;;;;;;
1833;;;;;;; 	1.435 ;;;;;;;;;;;;;;;;;;; 	961 ;;;;;;;;;;;;;;;;; 	2.130 ;;;;;;;;; 	2.053 ;; 	3.599 ;;;;;;; 	1.537 ;;;;;;; 	840 ;;;;;;;2788;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.341 ; 	1.508 ;;;;;; 	684 ;; 	920 ;;; 	1.421 ;;;;;;;;;;;;;;;;;; 	1.503 ;;;;;;;;;;;;;;;;; 	3.460 ;; 	2.173 ;;;;;;
1834;;;;;;; 	1.508 ;;;;;;;;;;;;;;;;;;; 	983 ;;;;;;;;;;;;;;;;; 	2.227 ;;;;;;;;; 	2.056 ;; 	3.639 ;;;;;;; 	1.635 ;;;;;;; 	867 ;;;;;;;2811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.370 ; 	1.527 ;;;;;; 	703 ;; 	923 ;;; 	1.466 ;;;;;;;;;;;;;;;;;; 	1.522 ;;;;;;;;;;;;;;;;; 	3.295 ;; 	2.195 ;;;;;;
1835;;;;;;; 	1.825 ;;;;;;;;;;;;;;;;;;; 	1.003 ;;;;;;;;;;;;;;;;; 	2.195 ;;;;; 	1.680 ;;;; 	2.125 ;; 	3.861 ;;;;;;; 	2.138 ;;;;;;; 	838 ;;;;;;;2888;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.360 ; 	1.503 ;;;;;; 	727 ;; 	915 ;;; 	1.444 ;;;;;;;;;;;;;;;;;; 	1.517 ;;;;;;;;;;;;;;;;; 	3.420 ;; 	2.153 ;;;;;;
1836;;;;;;; 	1.793 ;;;;;;;;;;;;;;;;;;; 	991 ;;;;;;;;;;;;;;;;; 	2.179 ;;;;;;;;; 	2.090 ;; 	3.937 ;;;;;;; 	2.067 ;;;;;;; 	821 ;;;;;;;2680;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.472 ; 	1.466 ;;;;;; 	765 ;; 	912 ;;; 	1.431 ;;;;;;;;;;;;;;;;;; 	1.565 ;;;;;;;;;;;;;;;;; 	3.470 ;; 	2.002 ;;;;;;
1837;;;;;;; 	1.881 ;;;;;;;;;;;;;;;;;;; 	1.028 ;;;;;;;;;;;;;;;;; 	2.219 ;;;;;;;;; 	2.118 ;; 	3.857 ;;;;;;; 	2.120 ;;;;;;; 	862 ;;;;;;;2611;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.553 ; 	1.463 ;;;;;; 	805 ;; 	923 ;;; 	1.573 ;;;;;;;;;;;;;;;;;; 	1.554 ;;;;;;;;;;;;;;;;; 	3.361 ;; 	1.884 ;;;;;;
1838;;;;;;; 	1.857 ;;;;;;;;;;;;;;;;;;; 	1.033 ;;;;;;;;;;;;;;;;; 	2.216 ;;;;;;;;; 	2.211 ;; 	3.963 ;;;;;;; 	2.230 ;;;;;;; 	859 ;;;;;;;2650;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.590 ; 	1.482 ;;;;;; 	811 ;; 	921 ;;; 	1.590 ;;;;;;;;;;;;;;;;;; 	1.529 ;;;;;;;;;;;;;;;;; 	3.330 ;; 	1.693 ;;;;;;
1839;;;;;;; 	1.733 ;;;;;;;;;;;;;;;;;;; 	1.023 ;;;;;;;;;;;;;;;;; 	2.224 ;;;;;;;;; 	2.130 ;; 	3.881 ;;;;;;; 	2.020 ;;;;;;; 	843 ;;;;;;;2627;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.588 ; 	1.495 ;;;;;; 	795 ;; 	913 ;;; 	1.629 ;;;;;;;;;;;;;;;;;; 	1.546 ;;;;;;;;;;;;;;;;; 	3.492 ;; 	1.576 ;;;;;;
1840;;;;;;; 	2.190 ; 	2.415 ;;;;;;;;;;;;;;;; 	1.852 ;; 	1.081 ; 	849 ;;;;;;;;;;;;;;;; 	2.276 ;;;;;;;;; 	2.276 ;; 	4.018 ;;;;;;; 	1.932 ;;;;;;; 	883 ;;;;;;;2711;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.623 ; 	1.607 ;;;;;; 	829 ;; 	907 ;;; 	1.503 ;;;;;;;;;;;;;;;;;; 	1.568 ;;;;;;;;;;;;;;;;; 	3.319 ;; 	1.519 ;;;; 	1.173 ;;
1841;;;;;;; 	1.868 ;;;;;;;;;;;;;;;;;;; 	1.081 ;;;;;;;;;;;;;;;;; 	2.254 ;;;;;;;;; 	2.321 ;; 	3.894 ;;;;;;; 	1.918 ;;;;;;; 	877 ; 	944 ;;;;;;2765;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.658 ; 	1.592 ;;;;;; 	889 ;; 	921 ;;; 	1.474 ;;;;;;;;;;;;;;;;;; 	1.549 ;;;;;;;;;;;;;;;;; 	3.253 ;; 	1.693 ;;;;;;
1842;;;;;;; 	1.704 ;;;;;;;;;;;;;;;;;;; 	1.089 ;;;;;;;;;;;;;;;;; 	2.243 ;;;;;;;;; 	2.260 ;; 	3.808 ;;;;;;; 	1.959 ;;;;;;; 	878 ;;;;;;;2788;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.569 ; 	1.580 ;;;;;; 	874 ;; 	917 ;;; 	1.519 ;;;;;;;;;;;;;;;;;; 	1.476 ;;;;;;;;;;;;;;;;; 	3.223 ;; 	1.884 ;;;;;;
1843;;;;;;; 	1.975 ;;;;;;;;;;;;;;;;;;; 	1.111 ;;;;;;;;;;;;;;;;; 	2.353 ;;;;;;;;; 	2.370 ;; 	3.950 ;;;;;;; 	1.653 ;;;;;;; 	861 ;;;;;;;2650;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.507 ; 	1.521 ;;;;;; 	843 ;; 	913 ;;; 	1.538 ;;;;;;;;;;;;;;;;;; 	1.508 ;;;;;;;;;;;;;;;;; 	3.274 ;; 	1.750 ;;;; 	1.092 ;;
1844;;;;;;; 	2.246 ;;;;;;;;;;;;;;;;;;; 	1.117 ;;;;;;;;;;; 	799 ;;;;;; 	2.434 ;;;;;;;;; 	2.444 ;; 	4.245 ;;;;;;; 	1.602 ;;;;;;; 	832 ;;;;;;;2650;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.540 ; 	1.567 ;;;;;; 	824 ;; 	915 ;;; 	1.636 ;;;;;;;;;;;;;;;;;; 	1.573 ;;;;;;;;;;;;;;;;; 	3.453 ;; 	1.750 ;;;;;;
1845;;;;;;; 	2.310 ;;;;;;;;;;;;;;;;;;; 	1.141 ;;;;;;;;;;;;;;;;; 	2.472 ;;;;; 	1.733 ;;;; 	2.359 ;; 	4.387 ;;;;;;; 	1.543 ;;;;;;; 	783 ;;;;;;;2673;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.515 ; 	1.631 ;;;;;; 	886 ;; 	932 ;;; 	1.634 ;;;;;;;;;;;;;;;;;; 	1.610 ;;;;;;;;;;;;;;;;; 	3.506 ;; 	1.769 ;;;;;;
1846;;;;;;; 	2.554 ;;;; 	2.700 ;;;;;;;; 	1.184 ;;;;;;; 	1.170 ;;;;;;;;;;;;;;;;; 	2.501 ;;;;;;;;; 	2.356 ;; 	4.334 ;;;;;;; 	1.691 ;;;;;;; 	759 ;;;;;;;2650;;; 	1.436 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.521 ; 	1.619 ;;;;;; 	853 ;; 	944 ;;; 	1.524 ;;;;;;;;;;;;;;;;;; 	1.554 ;;;;;;;;;;;;;;;;; 	3.526 ;; 	1.788 ;;;;;;
1847;;;;;;; 	2.954 ;;;; 	2.809 ;;;;;;;;;;;;;;; 	1.183 ;;;;;;;;;;;;;;;;; 	2.466 ;;;;;;;;; 	2.606 ;; 	4.234 ;;;;;;; 	1.441 ;;;;;;; 	748 ;;;;;;;2588;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.545 ; 	1.670 ;;;;;; 	939 ;; 	956 ;;; 	1.410 ;;;;;;;;;;;;;;;;;; 	1.594 ;;;;;;;;;;;;;;;;; 	3.619 ;; 	1.712 ;;;; 	937 ;;
1848;;;;;;; 	3.381 ;;;; 	2.796 ;;;;;;;;;;;;;;; 	1.227 ;;;;;;;;;;;;;;;;; 	2.570 ;;;;;;;;; 	2.437 ;; 	4.361 ;;;;;;; 	1.554 ;;;;;;; 	775 ;;;;;;;2657;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.602 ; 	1.533 ;;;;;; 	976 ;; 	960 ;;; 	1.496 ;;;;;;;;;;;;;;;;;; 	1.612 ;;;;;;;;;;;;;;;;; 	3.713 ;; 	1.712 ;;;;;;
1849;;;;;;; 	3.339 ;;;; 	2.853 ;;;;;;;;;;;;;;; 	1.298 ;;;;;;;;;;;;;;;;; 	2.695 ;;;;;;;;; 	2.506 ;; 	4.422 ;;;;;;; 	1.591 ;;;;;;; 	746 ;;;;;;;2642;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.709 ; 	1.559 ;;;;;; 	993 ;; 	960 ;;; 	1.520 ;;;;;;;;;;;;;;;;;; 	1.672 ;;;;;;;;;;;;;;;;; 	3.616 ;; 	1.576 ;;;;;;
1850;;;;; 	1.994 ;; 	3.148 ; 	2.630 ;;; 	2.944 ;;;;;;;;; 	867 ;;;; 	2.120 ;; 	1.352 ; 	858 ;;;;; 	784 ;;;; 	1.720 ; 	888 ;;; 	2.276 ;;; 	2.817 ;;;;; 	1.706 ;;; 	1.519 ; 	2.546 ;; 	4.332 ;;;;;;; 	1.607 ;;;;;;; 	724 ; 	947 ;;;;;;2611; 	867 ;; 	1.436 ;;;;;;;;;;;; 	899 ;;;;;;;; 	1.054 ;;;;;;;;;;;;;;;; 	3.779 ; 	1.623 ;; 	1.824 ;;;; 	945 ;; 	985 ;;; 	1.470 ;;;;;;;;;;;;;;;;;; 	1.715 ;;;;;;;;;;;;;;;; 	2.467 ; 	3.632 ;; 	1.884 ;;;; 	1.042 ;;
1851;;;;;;; 	3.736 ;;;; 	3.006 ;;;;;;;;; 	926 ;;;;; 	2.444 ; 	1.392 ;;;;;;;;;;;;;; 	2.244 ;;; 	2.649 ;;;;; 	1.720 ;;;; 	2.499 ;; 	4.477 ;;;;;;; 	1.969 ;;;;;;; 	744 ; 	947 ;;;;;;2611;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.834 ; 	1.663 ;;;;;; 	1.087 ;; 	1.038 ;;;;;;;;;;;;;;;;;;;;; 	1.682 ;;;;;;;;;;;;;;;;; 	3.778 ;; 	1.808 ;;;; 	1.234 ;;
1852;;;;;;; 	4.382 ;;;; 	3.067 ;;;;;;;;; 	901 ;;;;; 	2.446 ; 	1.404 ;;;;;;;;;;;;;; 	2.273 ;;; 	2.713 ;;;;; 	1.785 ;;;; 	2.652 ;; 	4.626 ;;;;;;; 	1.663 ;;;;;;; 	717 ;;;;;;;2573;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.790 ; 	1.686 ;;;;;; 	1.015 ;; 	1.062 ;;;;;;;;;;;;;;;;;;;;; 	1.645 ;;;;;;;;;;;;;;;;; 	3.971 ;; 	1.884 ;;;; 	1.294 ;;
1853;;;;;;; 	4.798 ;;;; 	3.127 ;;;;;;;;; 	846 ;;;;; 	2.379 ; 	1.364 ;;;;;;;;;;;;;; 	2.252 ;;; 	2.697 ;;;;; 	1.785 ;;;; 	2.515 ;; 	4.734 ;;;;;;; 	1.822 ;;;;;;; 	743 ;;;;;;;2519;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	3.704 ; 	1.776 ;;;;;; 	1.160 ;; 	1.108 ;;;;;;;;;;;;;;;;;;;;; 	1.667 ;;;;;;;;;;;;;;;;; 	4.242 ;; 	2.000 ;;;; 	1.390 ;;
