folio,region,comuna,pco1,sexo,edad,ecivil,yaimcorh,yautcor,ytotcor,yautcorh,ymonecorh,ytotcorh,yoprcor,yoprcorh,ytrabajocor,ytrabajocorh,ypchautcor,ypc,ypchtrabajo,esc,educ,depen
730630021101,7,7306,4,2,7,8,400000,NA,11091,450000,513100,913100,NA,NA,NA,450000,90000,182620,90000,NA,1,2
550610040601,5,5506,5,1,30,8,70000,342500,342500,1035000,1038684,1108684,300000,300000,342500,935000,207000,221737,187000,5,1,NA
1313210941201,13,13132,1,1,65,1,1000000,2316667,2316667,2316667,2316667,3316667,NA,NA,NA,0,1158334,1658334,0,17,11,NA
920810010101,9,9208,5,1,50,8,130000,73333,73333,73333,186911,316911,40000,40000,73333,73333,36667,158456,36667,12,6,NA
1110111600301,11,11101,2,2,33,2,0,1033833,1033833,4445500,4445500,4445500,1023000,1023000,1033833,4000500,1481833,1481833,1333500,20,10,8
1311410200801,13,13114,10,2,20,8,850000,NA,NA,1853333,1853333,2703333,NA,NA,NA,1603333,463333,675833,400833,14,9,9
1311310020801,13,13113,4,1,5,8,0,NA,NA,1065833,1065833,1065833,NA,NA,NA,1065833,355278,355278,355278,NA,0,1
110111940101,1,1101,5,1,11,8,0,NA,NA,688000,688000,688000,NA,NA,NA,588000,229333,229333,196000,NA,1,2
811210121301,8,8112,2,2,32,1,0,420000,420000,1324583,1324583,1324583,420000,420000,420000,1324583,441528,441528,441528,15,8,NA
1330110120601,13,13301,10,1,18,8,150000,NA,NA,760000,760000,910000,NA,NA,NA,640000,126667,151667,106667,8,2,1
1312810031401,13,13128,1,2,52,1,250000,363667,363667,1013667,1013667,1263667,360000,360000,363667,863667,253417,315917,215917,12,5,NA
910710100401,9,9107,1,1,36,1,200000,480000,480000,480000,491091,691091,480000,480000,480000,480000,120000,172773,120000,12,5,NA
1310410010201,13,13104,4,2,2,8,300000,NA,NA,3206250,3206250,3506250,NA,NA,NA,3206250,534375,584375,534375,NA,0,NA
1312210310101,13,13122,5,1,14,8,200000,NA,3684,120000,123684,323684,NA,NA,NA,0,40000,107895,0,NA,1,1
580110350102,5,5801,14,2,93,7,150000,450000,450000,730000,779140,929140,NA,NA,NA,280000,182500,232285,70000,20,12,NA
1310610221901,13,13106,1,1,46,1,0,937833,937833,1424999,1424999,1424999,700000,700000,937833,1424999,356250,356250,356250,13,6,NA
410230021601,4,4102,9,1,32,2,250000,300000,311052,404000,419984,669984,300000,300000,300000,300000,101000,167496,75000,8,2,NA
630510020701,6,6305,10,1,16,8,100000,80000,80000,704167,833455,933455,NA,NA,NA,544167,100595,133351,77738,9,3,1
